811 931
323 798 -498
117 700 38
522 289 -804
296 445 426
688 472 272
337 221 -893
414 51 -416
529 408 406
238 158 -725
27 413 468
559 805 -767
685 49 -562
30 624 -965
626 453 -603
494 64 -46
243 60 -491
726 406 780
313 282 -942
375 421 -90
697 532 922
7 611 333
722 513 340
291 733 309
783 587 641
368 588 -208
62 757 732
788 764 666
320 102 -362
204 598 512
553 416 733
98 659 -750
758 289 -74
366 369 -197
393 662 421
461 90 203
762 175 348
284 141 -501
782 277 -61
126 336 -592
774 393 840
402 129 -164
334 181 312
439 524 -918
449 781 -771
805 218 312
719 408 -991
71 109 685
594 548 702
717 673 -760
403 760 564
277 203 401
691 127 -171
238 639 42
586 622 -212
93 452 957
346 544 278
683 252 37
780 93 911
778 724 -612
452 544 461
84 151 766
290 302 284
721 8 -152
547 620 337
113 257 669
719 543 331
58 356 840
532 527 495
439 420 689
614 422 -60
181 682 721
556 319 263
749 87 -757
167 505 -448
652 31 307
523 117 -163
800 796 -777
397 66 949
412 527 -601
114 84 149
219 284 754
652 559 746
645 213 526
803 636 519
569 573 -193
352 722 3
758 348 5
336 105 487
350 538 619
400 755 553
214 387 985
630 156 163
455 125 754
335 257 -488
68 605 104
313 483 -248
633 706 -630
703 360 637
746 478 -408
110 14 587
396 409 -364
426 493 280
386 543 -774
455 724 280
447 345 940
593 241 -45
9 18 -855
79 623 201
107 9 -730
47 491 -916
151 555 -419
627 470 752
789 104 14
215 37 371
368 244 214
403 444 -859
262 489 -888
30 353 -412
585 4 -965
776 523 -831
683 547 313
513 476 170
443 442 75
169 505 -733
729 808 434
208 707 21
473 677 917
174 457 -575
525 303 589
393 779 -882
128 271 214
488 161 801
204 252 215
703 78 197
155 356 922
533 284 545
793 216 136
57 700 599
499 550 -474
246 374 -84
113 644 -321
220 464 88
171 552 237
231 83 -561
802 191 -279
555 451 750
582 253 -603
443 436 -396
603 191 -474
730 391 -490
744 190 576
347 245 -738
790 766 90
559 250 649
592 154 687
279 629 -444
136 628 -171
163 551 -275
311 739 130
442 762 893
680 718 -234
555 575 159
317 416 746
151 299 -980
690 121 424
602 93 383
731 503 654
229 185 -299
403 463 610
183 54 952
422 95 378
69 379 496
407 114 -739
588 552 -660
1 516 856
450 120 145
100 765 251
213 71 -537
277 524 -155
810 193 -420
173 723 620
493 323 773
431 229 563
590 503 -809
651 612 340
789 503 848
471 810 -400
740 167 -449
119 277 -877
693 701 164
15 755 412
361 794 980
453 319 404
108 398 48
404 303 -270
767 792 643
351 562 114
293 716 817
584 453 -429
273 198 -824
722 600 745
119 530 -35
75 149 -192
256 717 850
648 680 250
175 637 460
83 190 812
790 405 -255
509 723 -409
715 758 -646
262 139 -759
535 117 658
186 650 858
453 781 -165
734 663 370
23 734 679
542 581 857
343 231 -733
381 655 775
62 780 -270
288 296 569
766 810 746
651 415 -260
81 341 -931
564 662 -273
537 212 -829
454 385 -679
420 229 891
121 444 467
73 626 882
263 231 -391
362 648 376
22 313 -501
381 169 708
107 189 -735
767 734 -167
653 237 481
807 746 -816
465 800 -295
105 193 335
660 46 929
784 570 -386
115 778 -530
101 130 -771
374 506 655
363 734 1000
45 810 872
374 712 114
495 217 538
402 677 194
303 320 -249
464 278 176
166 345 -919
148 619 -969
634 401 43
365 356 722
617 285 -96
235 672 -772
272 359 322
611 272 960
672 477 355
443 773 -123
214 331 229
767 197 -553
358 508 618
476 184 999
10 301 184
702 707 695
188 374 -564
26 685 393
657 555 -363
661 535 -569
460 681 -21
147 149 203
184 496 779
154 36 467
749 448 -901
337 111 -806
48 122 -139
333 134 -909
492 36 816
165 527 -887
94 448 -28
710 301 -843
83 222 772
636 42 -370
159 32 -58
146 610 443
91 586 661
537 640 135
614 393 -845
698 201 -508
8 533 325
223 66 16
770 193 -203
66 617 -380
296 196 -598
619 733 -909
215 334 422
232 21 40
582 314 -66
85 368 -436
738 786 -711
223 430 554
21 83 -85
487 523 345
156 308 695
437 22 -176
95 436 969
737 6 -83
161 657 -799
646 179 -690
463 750 -969
797 793 574
292 557 26
46 627 -87
17 450 -88
743 378 993
811 351 752
360 405 -363
299 538 -116
635 75 -215
735 489 452
673 244 -760
743 111 60
582 96 28
104 422 871
472 1 -361
94 208 932
380 16 -216
17 798 302
44 210 949
294 517 689
552 554 870
468 224 -527
262 418 599
92 14 622
450 178 -322
516 493 875
317 747 -549
619 314 -883
122 307 178
699 219 -239
470 409 -858
718 688 43
147 594 -613
542 810 -510
217 596 -166
488 607 -716
491 709 531
233 544 813
282 191 -971
390 359 -776
345 808 -893
87 517 322
690 632 -106
4 749 -487
12 471 741
652 5 -635
515 251 930
115 165 -991
531 577 -322
715 258 -672
343 602 -891
703 708 582
289 339 314
184 798 377
571 629 -288
323 546 178
508 236 -472
531 388 586
99 305 -774
679 735 -291
519 731 266
237 393 -429
796 492 637
605 608 -930
153 330 93
363 563 -415
538 706 39
305 526 198
269 318 898
243 542 354
376 315 -919
396 715 92
528 67 -453
412 472 111
734 618 362
503 401 -551
232 539 -550
402 125 -91
793 649 845
261 296 722
580 240 -814
763 746 -268
422 496 -444
624 140 321
195 537 616
18 532 -88
779 192 258
797 97 974
339 308 -516
759 95 942
141 97 112
791 151 221
561 115 -164
274 417 217
415 775 81
288 494 444
