20
833 1697
176 505 914
692 14 698
687 266 969
794 111 502
667 151 624
15 48 847
445 106 804
256 102 539
325 822 927
672 347 519
754 292 683
508 63 18
213 386 467
630 59 478
239 11 336
261 667 935
494 576 972
174 718 325
412 441 286
241 379 711
43 360 23
680 748 101
692 125 617
585 115 168
505 788 665
279 172 532
23 568 814
72 832 500
801 338 466
123 324 884
747 283 935
322 442 522
156 118 821
706 353 191
673 119 807
521 778 446
144 693 821
56 588 815
829 73 790
289 654 933
240 59 378
718 551 578
638 56 765
174 413 78
201 459 514
150 600 928
826 625 64
810 491 632
622 171 627
446 709 801
510 831 432
241 329 634
398 230 630
632 274 110
169 167 264
278 68 237
41 308 406
211 535 25
151 260 190
166 470 70
701 454 496
143 645 244
323 732 213
50 470 335
254 232 940
418 689 105
70 751 672
383 138 771
72 186 846
583 77 369
521 88 767
400 119 931
469 250 935
61 138 883
683 693 275
306 230 120
87 823 489
308 158 958
611 137 326
184 107 740
196 418 435
632 125 316
660 479 650
175 543 858
209 15 585
618 351 761
729 308 681
757 358 877
60 118 344
460 370 606
775 319 117
75 319 903
491 42 661
730 755 194
757 84 956
522 100 428
105 555 540
529 258 609
597 123 843
431 612 884
5 766 574
32 340 953
20 497 524
131 309 844
139 435 228
577 557 296
349 7 66
737 125 41
327 803 919
541 130 620
673 248 6
676 414 706
787 90 330
30 726 182
478 397 658
43 243 970
270 418 561
101 240 706
464 305 550
172 169 968
459 168 685
223 734 589
389 362 61
601 694 943
54 742 962
830 127 652
216 396 732
414 619 756
469 346 495
346 194 361
576 315 819
53 714 728
621 496 791
547 765 12
100 769 271
725 541 176
408 731 762
208 58 370
759 234 830
620 638 198
219 330 316
34 655 771
477 246 974
150 276 504
581 607 230
776 764 210
793 140 858
213 92 594
194 10 828
684 43 580
224 167 217
116 242 592
727 663 350
812 785 675
342 716 728
46 832 532
486 503 704
353 689 67
433 510 53
754 21 501
111 241 375
196 329 786
316 242 343
544 358 565
178 405 364
240 712 31
794 609 645
74 237 640
569 358 900
811 613 556
29 197 355
597 80 208
638 752 529
230 564 74
318 75 742
374 508 153
394 186 90
384 79 487
40 464 98
306 207 283
524 788 226
833 193 762
297 5 191
670 339 833
252 505 187
138 694 129
52 208 322
573 791 557
22 312 238
103 417 502
423 558 278
419 552 391
416 826 898
131 551 460
617 240 440
728 595 489
93 43 438
209 100 813
537 207 8
731 427 880
84 345 980
25 208 96
782 494 83
88 487 352
761 344 99
375 607 850
752 21 364
733 371 108
708 754 217
674 7 290
226 795 946
49 809 954
656 334 79
631 633 308
550 411 337
479 721 914
239 195 173
724 258 577
160 594 121
616 355 828
104 244 731
486 1 745
756 63 956
498 687 176
801 152 785
12 321 614
154 631 880
499 819 909
784 639 849
296 577 69
139 677 439
340 109 582
418 119 560
486 16 204
391 303 955
338 737 177
349 348 980
186 424 921
370 47 434
677 356 194
304 518 826
750 603 518
761 43 189
123 58 460
506 355 140
332 480 388
325 521 559
22 113 275
348 371 336
466 80 49
411 689 854
818 711 960
655 267 258
51 767 652
502 545 884
619 731 987
540 336 127
32 233 87
226 356 295
709 791 713
311 30 458
210 548 927
355 106 423
110 388 625
288 791 932
93 659 872
144 96 93
394 780 914
625 183 808
798 296 49
285 757 640
793 442 125
246 84 727
433 623 594
10 89 673
678 534 575
89 401 210
543 298 712
403 116 8
469 536 181
622 146 77
806 153 338
50 651 33
530 388 506
798 818 999
473 84 866
517 305 688
755 606 573
486 712 238
33 832 463
449 574 864
594 824 526
437 149 392
831 320 698
795 205 656
412 611 964
747 604 166
88 278 165
116 589 510
704 55 887
511 665 535
393 815 687
697 566 897
408 301 160
684 133 355
93 635 416
14 68 132
825 649 849
746 310 940
8 508 223
524 57 550
110 58 880
509 485 906
230 149 144
275 196 521
545 460 61
368 311 327
505 363 743
306 533 524
304 293 962
523 524 120
524 750 139
725 563 520
761 169 320
399 258 693
492 567 599
346 264 189
807 814 423
207 229 732
200 9 675
668 276 254
93 428 433
619 92 784
106 726 276
413 431 792
174 289 412
168 448 313
61 559 904
549 266 534
737 747 137
116 810 569
630 435 595
738 311 314
550 241 511
8 109 48
41 622 829
597 802 261
786 275 619
323 434 921
591 298 220
619 758 160
64 23 365
190 25 843
1 171 788
137 568 275
659 67 439
718 115 263
177 142 736
828 198 258
297 769 257
77 767 689
54 531 391
542 351 830
321 724 446
742 603 202
209 200 697
687 276 352
455 745 614
729 755 725
98 302 599
341 802 160
34 256 653
269 681 255
376 158 699
748 714 772
740 60 142
650 704 361
268 32 401
86 597 479
300 611 707
404 549 244
93 258 597
225 26 796
710 417 396
238 433 380
248 561 936
757 397 286
790 325 5
6 494 773
774 239 221
375 456 741
315 64 3
469 302 594
347 825 519
233 129 583
267 76 464
655 1 227
778 287 717
333 319 980
267 485 959
612 792 270
327 111 429
256 190 282
106 121 656
249 511 24
359 20 23
104 309 64
741 193 149
166 436 740
170 489 337
103 461 845
587 533 59
580 833 243
373 708 51
284 29 532
504 298 448
713 18 439
798 597 228
371 765 504
129 123 597
102 744 661
784 550 824
316 426 952
592 168 566
586 154 789
173 285 293
505 360 580
15 686 857
590 691 950
196 462 137
642 700 435
435 475 787
547 788 90
723 676 671
430 815 387
734 155 72
554 430 498
816 400 666
308 411 932
251 615 836
668 743 367
29 704 215
613 346 274
483 288 828
745 322 103
327 394 522
161 362 340
13 635 366
343 228 168
455 31 331
407 280 898
184 591 360
445 629 850
659 359 903
757 708 316
182 446 706
288 685 918
17 342 59
109 270 629
827 308 448
611 524 567
337 206 935
590 501 623
767 734 518
55 446 483
794 258 284
587 671 798
92 414 799
566 710 644
110 738 715
379 226 147
295 496 924
34 594 494
57 2 385
351 765 227
795 345 486
15 751 943
807 61 171
77 703 997
614 392 608
300 383 906
471 481 479
15 301 811
337 76 187
309 99 401
582 444 745
668 753 531
55 264 542
649 127 101
364 276 696
303 799 56
331 549 931
693 103 79
559 795 304
551 794 708
508 194 925
718 301 15
496 391 886
689 600 527
746 125 163
204 647 881
630 23 798
193 496 842
267 319 95
495 745 692
638 351 40
532 269 602
232 722 648
396 243 512
100 830 533
217 208 883
59 502 6
739 649 627
518 169 507
804 730 222
146 424 949
674 685 585
749 771 569
157 503 194
32 325 470
522 780 813
169 85 73
604 821 420
766 667 94
182 657 446
130 141 985
736 675 24
138 740 198
212 808 654
410 521 463
802 717 986
744 291 448
611 358 787
619 584 22
71 251 294
473 233 275
250 280 369
388 671 306
463 683 644
268 210 781
254 695 838
156 269 195
116 627 285
417 317 293
815 735 748
559 238 272
392 458 326
218 801 464
16 573 832
665 799 588
501 544 487
203 673 755
676 603 597
538 615 320
60 656 348
283 799 448
619 25 553
389 18 69
378 799 670
175 124 297
170 263 482
333 422 504
93 265 363
560 525 7
751 525 378
165 339 218
740 2 850
151 495 688
251 789 659
602 468 14
818 627 215
147 818 832
606 800 912
309 615 124
393 127 460
607 124 996
300 599 880
785 581 12
282 617 291
104 671 686
172 672 606
248 584 136
287 107 169
599 104 230
741 649 580
417 140 950
166 578 717
653 12 397
156 203 811
305 32 884
788 422 836
92 819 977
570 644 322
388 621 130
597 71 370
816 392 536
369 782 58
48 719 458
713 101 122
420 44 186
563 342 207
223 259 997
521 687 654
690 433 482
550 215 886
554 508 600
51 180 592
410 123 814
28 165 519
274 234 372
676 152 468
258 781 134
678 277 349
821 624 165
385 798 658
818 192 483
373 732 704
131 274 74
6 48 493
150 12 736
685 344 382
116 120 33
672 281 978
603 84 647
607 832 341
101 415 105
182 306 255
38 388 898
494 122 417
282 307 917
46 754 105
215 786 963
178 821 638
546 634 291
202 653 416
371 782 505
130 152 830
294 166 750
106 154 820
289 198 58
167 121 735
749 612 418
665 14 946
321 207 591
591 391 763
681 345 887
791 318 832
385 601 739
307 582 803
699 464 356
120 253 278
86 398 94
27 524 52
578 181 374
301 751 871
672 825 477
650 403 964
751 828 158
800 449 732
458 135 475
122 109 678
443 534 989
676 754 702
385 247 466
752 52 567
654 512 352
400 176 424
354 139 175
585 667 857
493 48 369
91 89 810
666 533 430
739 408 219
485 43 15
563 222 883
585 238 541
178 331 283
807 453 458
542 581 770
533 152 921
733 64 67
87 130 758
605 116 327
161 350 202
303 508 493
395 469 296
699 813 57
513 41 16
184 11 98
230 746 765
609 157 688
807 503 117
527 333 285
201 756 942
276 419 180
741 30 200
760 159 322
260 662 988
538 605 497
363 764 582
727 800 149
543 164 645
402 65 97
673 667 633
220 225 769
607 288 707
12 653 35
654 141 126
247 751 176
138 303 226
580 133 719
537 300 803
281 813 126
769 438 229
696 376 998
461 497 978
189 408 868
232 826 742
694 553 132
780 648 391
288 780 660
420 329 1000
602 448 489
801 216 328
612 333 201
530 1 467
404 553 492
826 309 622
140 464 682
255 381 680
715 68 678
110 95 237
695 423 804
54 555 233
67 544 519
531 468 145
50 226 113
634 69 319
318 269 252
747 773 577
329 281 141
198 793 488
58 359 609
699 345 940
242 811 654
628 451 471
348 376 997
666 831 995
694 388 766
544 744 798
168 669 982
80 646 978
799 814 175
827 113 820
521 312 507
554 193 191
221 388 182
718 46 595
313 430 586
228 227 425
594 126 402
640 208 525
235 651 576
