967 2711
846 958 940
666 73 722
15 325 98
703 955 196
413 602 515
836 581 341
204 393 59
384 99 535
954 612 561
43 344 327
245 574 333
779 78 585
661 31 140
865 696 768
538 519 192
154 676 274
743 19 966
202 168 871
484 324 529
532 542 21
605 335 750
801 534 71
957 600 266
650 474 516
317 348 838
69 299 2
966 34 52
198 742 932
451 511 160
671 502 429
815 138 434
335 549 556
636 930 876
734 226 140
573 473 734
936 963 455
772 164 656
599 13 553
583 344 201
381 842 900
308 840 330
485 703 872
818 403 856
160 456 239
79 298 912
485 684 82
793 805 552
35 877 745
926 760 38
93 544 50
625 122 888
627 201 648
689 325 512
351 333 820
482 27 901
137 34 248
711 327 244
731 698 457
730 172 681
272 404 622
856 898 888
754 419 703
628 825 807
954 907 446
668 488 628
334 163 453
422 963 740
474 492 218
589 621 827
946 412 385
967 642 679
52 124 944
764 459 776
260 188 610
238 624 216
776 253 450
226 173 958
651 855 382
427 159 483
40 264 935
371 634 150
71 288 877
955 707 877
424 165 480
300 533 835
664 300 370
513 488 82
695 691 236
455 228 231
451 685 561
905 370 609
569 585 628
24 912 758
205 235 6
941 559 469
190 807 683
936 342 449
530 351 704
6 703 19
82 697 103
557 827 477
98 276 966
131 455 797
708 560 148
864 494 633
65 948 596
616 296 630
82 523 204
221 941 18
339 492 120
326 571 715
525 485 91
159 410 777
314 885 254
865 737 735
930 51 376
81 285 823
30 171 286
647 681 536
844 343 680
84 766 710
281 489 401
298 449 168
310 359 345
447 831 458
729 530 842
97 72 852
426 954 166
713 302 462
728 962 371
139 908 209
207 717 763
805 490 321
927 883 376
787 696 872
695 389 121
479 967 932
135 959 194
311 237 425
634 626 886
134 83 251
61 778 718
346 401 503
268 783 89
910 331 106
361 465 555
649 460 814
725 951 963
293 903 85
721 917 956
867 964 577
101 782 497
178 743 432
331 624 642
698 508 385
489 416 349
412 249 63
360 521 90
764 537 659
564 469 924
857 420 869
179 596 188
216 961 178
819 55 316
630 52 723
666 845 758
950 848 915
849 23 804
605 864 528
470 117 427
482 456 553
490 6 537
466 721 746
743 656 766
848 929 184
5 11 780
67 947 796
388 476 36
747 287 539
160 8 143
404 514 347
573 94 280
261 218 531
687 365 49
951 34 867
847 555 777
637 534 359
403 284 689
620 418 453
503 798 532
800 44 86
252 709 151
484 56 669
157 56 219
298 227 623
851 868 141
495 4 846
155 516 553
701 796 686
665 757 134
517 194 991
350 583 394
93 927 931
743 929 778
604 449 740
716 222 414
609 282 294
333 626 513
617 204 55
30 17 738
189 885 110
99 939 572
487 749 150
537 612 391
783 95 481
846 962 619
326 635 743
104 662 429
26 395 186
505 802 868
400 588 115
383 909 708
123 444 85
620 825 604
156 568 309
314 307 137
168 656 989
319 611 69
366 464 782
187 365 430
950 845 66
577 245 742
40 443 323
236 128 968
401 597 162
236 589 599
399 750 212
360 336 342
761 648 235
553 457 232
305 346 726
24 160 484
533 802 653
603 152 464
136 937 907
135 485 180
649 80 132
466 946 320
454 723 559
956 182 437
836 90 494
482 438 198
453 519 752
648 3 27
483 310 899
733 854 164
279 329 496
224 872 967
152 879 275
939 276 487
758 451 822
450 263 297
23 589 101
830 838 347
433 100 517
243 624 413
53 55 143
441 852 298
650 901 202
134 675 670
179 493 607
815 113 248
753 648 642
75 171 22
579 560 201
493 299 70
85 291 480
643 557 269
78 361 125
29 79 547
225 200 529
662 468 203
540 599 678
460 339 872
570 392 678
44 468 318
583 543 834
515 532 30
854 910 871
329 716 779
167 493 550
545 518 329
260 9 676
798 475 103
182 313 404
441 232 663
162 932 144
22 12 866
757 432 488
97 669 217
593 519 632
624 810 153
505 659 85
287 289 23
509 220 653
861 106 16
963 934 559
778 906 668
256 497 802
569 616 706
584 55 496
372 685 645
576 652 390
368 436 696
417 474 314
954 270 538
409 870 496
16 89 432
7 189 856
900 705 23
354 337 936
721 487 790
318 514 61
692 944 889
26 589 402
490 127 561
649 399 540
899 836 732
761 509 664
172 824 144
822 914 783
725 650 650
800 723 753
904 575 130
610 23 366
925 202 383
132 731 764
716 731 795
900 356 187
891 143 622
587 910 724
204 328 57
888 521 376
645 922 242
77 732 888
350 54 850
681 123 15
40 52 792
335 70 706
186 908 999
367 851 729
23 904 631
361 950 110
505 353 736
591 898 800
965 281 35
142 668 41
576 333 527
901 82 437
36 617 244
19 768 319
103 866 310
683 64 810
849 596 300
763 868 876
653 441 217
790 18 125
593 313 967
703 745 911
6 71 766
30 683 640
947 390 463
560 923 232
396 762 376
357 256 620
798 856 191
753 121 180
413 700 510
922 569 765
139 746 872
837 608 120
421 654 720
295 748 592
864 392 448
815 414 784
514 895 383
141 708 846
370 712 844
827 696 728
476 626 734
490 202 820
532 271 800
548 437 83
796 703 176
668 483 635
826 410 88
812 310 930
621 166 80
75 149 57
891 550 537
351 914 776
441 604 271
230 887 404
726 965 673
325 950 797
276 196 10
407 468 128
795 404 14
89 136 906
659 215 671
46 946 493
557 162 113
560 255 770
727 396 329
323 457 349
31 922 1
29 283 565
735 509 798
925 313 261
320 534 131
756 892 994
860 873 8
791 707 174
540 488 451
906 878 985
489 700 661
451 244 296
884 801 750
957 424 934
908 139 874
569 883 453
592 858 558
364 311 990
482 27 574
274 228 713
402 75 723
209 6 745
519 43 644
30 162 647
773 362 622
877 518 337
284 703 824
189 858 245
33 891 726
94 506 864
672 324 341
767 403 282
764 36 369
478 65 983
438 891 649
342 19 857
930 332 486
752 171 904
369 305 214
353 322 837
899 519 444
729 323 656
24 799 358
242 871 332
766 626 787
211 88 464
567 538 190
456 140 50
448 705 471
686 663 314
578 646 418
914 842 847
546 827 487
508 408 220
245 647 628
393 679 287
237 115 744
379 873 690
818 110 715
295 99 520
777 513 88
845 335 79
220 16 85
250 478 379
232 89 724
353 37 743
110 299 905
234 879 549
778 274 279
343 823 818
307 194 251
785 71 494
690 508 667
406 571 335
827 42 586
837 650 878
451 507 670
244 161 408
510 42 477
654 291 943
149 316 551
779 90 86
833 899 62
252 565 187
961 328 536
690 121 343
643 24 530
258 103 180
197 25 433
291 838 729
44 181 156
701 85 85
354 780 752
615 72 246
309 751 822
674 197 578
624 848 280
451 595 456
304 652 691
84 619 946
783 507 68
699 314 74
400 712 416
614 314 88
901 634 530
808 828 487
918 86 544
323 295 355
832 905 996
397 917 405
300 802 746
497 199 730
542 747 795
307 471 168
796 606 698
786 296 663
618 705 263
525 548 107
941 526 240
108 55 366
762 427 631
618 264 554
299 510 360
347 15 729
343 273 872
80 284 649
71 303 969
325 895 520
820 894 692
311 452 746
554 527 806
