16
853 913
853 626 -262
792 103 963
699 568 -948
225 409 -62
589 439 735
78 143 426
543 783 612
503 166 894
658 435 274
254 182 544
637 482 482
845 494 952
225 816 -635
583 797 18
223 376 23
55 380 -958
695 387 -881
842 163 -245
216 694 652
60 635 636
815 117 78
273 80 -600
259 440 700
631 797 963
618 486 78
833 253 4
489 84 761
473 717 -641
498 365 850
82 726 301
617 491 696
802 321 947
770 555 -364
788 44 -475
236 556 753
414 105 768
850 583 41
137 725 334
263 125 617
369 790 379
42 180 -369
400 423 -967
303 35 -167
131 370 209
713 205 636
506 488 -395
277 336 -647
395 71 475
637 546 817
392 774 33
726 673 -537
334 150 -295
44 559 -203
852 115 1000
21 227 -554
734 520 154
834 414 702
41 357 -523
823 294 -449
309 152 -5
12 778 -236
756 809 -893
52 126 4
442 673 973
72 380 155
346 840 -950
766 559 951
605 719 101
491 8 801
651 297 -956
651 287 211
462 567 441
170 615 -935
195 658 -619
172 539 -312
362 509 -17
622 561 -210
786 279 -517
138 652 83
209 89 494
157 658 -159
617 650 428
54 723 -845
237 241 669
382 844 466
819 340 -73
783 394 874
283 528 905
140 527 634
437 363 240
488 136 -575
219 62 718
584 330 -515
147 64 59
699 174 -876
368 124 77
719 83 656
143 841 -328
584 533 238
663 726 686
211 691 712
379 414 546
627 499 -64
252 806 915
621 549 -392
40 68 184
391 643 -272
663 549 -56
17 277 -115
50 64 -543
503 706 -6
677 821 -673
88 542 -504
202 593 -187
319 117 846
775 697 39
85 348 552
74 336 345
93 350 794
589 748 573
537 723 905
120 554 -432
727 34 937
465 267 -674
651 298 -499
15 401 421
760 29 -754
97 536 695
450 341 -346
257 522 982
513 287 -597
485 48 -631
177 273 79
648 845 -248
715 431 599
433 650 123
176 82 -306
681 518 298
732 91 634
746 179 -770
452 327 164
228 434 -339
592 439 -1000
574 641 -310
428 526 213
415 530 -611
240 326 -782
685 794 -488
260 460 996
266 36 47
128 564 -433
835 478 280
134 216 -603
4 835 429
201 196 -801
20 805 663
415 134 -39
675 743 48
431 237 -179
689 44 -265
783 228 230
173 251 513
561 325 -87
149 525 -222
47 686 -472
191 230 551
743 160 -272
285 639 46
812 538 308
759 510 416
54 476 572
190 442 -25
223 53 -440
559 627 283
79 757 -982
533 573 337
173 755 -13
232 20 -914
244 138 -720
642 471 12
575 740 -485
624 289 161
655 659 811
253 660 -657
600 672 115
522 416 580
666 443 141
541 17 -711
109 419 59
402 841 -695
361 202 -810
513 240 -375
96 322 680
634 520 -811
516 215 511
159 771 731
168 503 212
343 750 564
466 9 -910
494 796 134
425 50 361
503 472 699
328 384 -237
543 816 922
425 637 491
257 141 -394
31 110 730
590 687 476
333 415 296
289 399 -419
734 847 -161
674 846 887
617 657 -120
519 222 -222
197 246 -73
30 690 -143
230 347 549
553 842 -220
62 249 -77
701 578 35
490 582 -110
232 462 -445
122 483 753
832 453 -913
820 132 23
591 123 -358
406 105 756
822 235 -371
697 152 542
587 6 683
161 720 936
74 266 -46
357 217 -710
773 200 -965
19 26 -855
142 468 -577
684 836 856
457 650 -653
55 480 -757
383 316 516
515 735 814
555 343 407
426 233 662
11 586 -595
623 547 -290
70 557 196
95 465 756
522 326 -146
90 153 539
809 624 813
569 607 -499
548 353 -380
165 201 630
274 853 147
421 497 610
583 551 -89
153 791 -23
597 405 576
258 615 -500
310 193 90
337 121 -266
414 458 729
204 645 29
156 398 637
267 12 -483
189 304 -986
299 41 -805
4 353 -257
90 250 -644
56 460 -747
175 299 -794
205 516 44
847 304 57
402 770 639
444 831 -535
537 478 -964
768 675 662
554 283 532
794 388 466
392 303 995
346 501 262
221 185 -962
613 571 59
692 625 -232
55 736 399
812 222 -325
722 358 -500
828 205 86
257 334 -609
78 480 -913
714 365 -365
3 151 100
495 784 -692
356 710 -533
358 815 -988
255 108 -961
154 179 -584
671 518 863
603 452 317
285 796 -353
422 470 880
437 434 -620
419 336 -82
608 225 617
561 20 -74
598 753 -299
367 617 -554
143 525 -173
495 717 236
489 312 648
287 128 -691
150 681 -814
360 824 896
