8619 25826
3601 4266 -646
2824 6047 367
320 7431 -266
1511 2866 -806
4933 887 -937
2009 1519 335
6557 4792 845
5201 155 419
7501 4291 898
6257 5038 -697
4694 6363 -997
4829 6812 304
1918 2446 -841
5510 4055 -947
3679 2908 597
5289 8208 -567
7445 113 47
5079 3568 -723
5860 6997 520
584 3753 -86
5314 2586 512
2390 6919 728
2504 5629 220
3733 977 544
3243 4183 612
2754 1636 -322
8389 4015 -785
408 7213 -893
7208 4604 -298
2540 2361 -25
7847 6641 986
7109 3597 -154
3983 8555 192
3809 4494 966
8287 8412 -983
3416 6802 823
8439 3570 -875
8166 121 -622
5509 7968 648
8337 1670 752
7524 4311 84
5530 2860 868
6226 740 -359
4254 1397 -758
213 8089 229
2291 4998 -104
7122 2503 -51
1179 6744 838
4378 298 646
6723 3405 -513
6954 8458 401
8221 6321 -138
4885 8296 -852
6480 5255 608
8010 847 297
3330 3471 -120
7322 379 -594
8023 1705 -726
6279 1553 679
1561 3692 172
3217 5770 -919
2205 3170 -697
1575 4484 815
1010 5919 760
3012 5983 -664
220 8299 33
880 1404 -857
7200 4565 344
4599 7532 -773
5911 5367 176
5158 2044 -375
3384 3809 -703
4453 7755 -221
7041 284 821
1283 6196 377
5969 3412 730
4614 1236 349
3833 6717 -152
6841 4416 893
7516 5585 -964
1859 8467 93
8191 4335 -621
4768 1770 -537
7239 3330 867
7894 367 552
4753 1041 10
3543 8349 -720
2831 1587 -840
3511 2559 -858
386 8408 -4
3083 6691 632
4325 8438 -765
2810 5905 -625
2433 7562 242
768 4173 -924
4895 1637 920
3824 297 -760
2902 1548 963
6732 4759 -34
262 2655 486
6803 66 897
7994 3921 -447
951 4597 -874
4898 6633 -741
2544 5106 567
6611 2558 -319
6729 4204 162
5070 8159 -230
5996 7849 598
4367 3055 80
2782 6137 710
6758 8164 -601
8216 2305 -933
1292 3351 619
699 3344 144
2810 3781 -57
3005 1069 274
7879 7829 609
293 757 -463
3618 3876 837
5646 1184 265
3032 5747 86
6134 6984 627
697 4735 487
8499 5984 -286
1672 1530 -393
1005 1441 -281
1482 4838 134
3107 939 -871
2982 3535 -746
4405 4631 282
6612 3536 -577
5120 2573 -142
8328 2912 -780
1036 3889 -674
3437 7009 220
1006 2814 -16
1328 2227 -390
5813 1099 -175
4122 3955 468
2584 6454 411
429 891 -417
4726 6302 25
8553 367 -739
549 2959 35
5017 2218 120
2784 4541 363
586 55 -284
4367 379 -122
8009 7952 816
6718 8118 547
2550 4901 256
7226 4706 -756
7685 4356 808
1083 1719 -158
7771 1847 -17
4665 2662 1
8408 6792 13
2004 5667 -453
2595 2822 -428
3072 7455 207
1325 4685 929
2125 2112 -391
8448 4581 909
2268 8075 -813
8100 6183 -357
2410 7127 28
8391 2696 137
1606 6028 609
2091 77 113
3267 6604 -737
7708 992 -710
6149 3254 -439
3369 1977 390
1556 8393 -12
2520 1295 904
6712 5902 145
5383 5964 474
7725 7564 -290
7681 4998 996
7227 7408 469
2578 3976 724
4362 901 42
5946 7437 92
5655 5863 -176
7160 5037 -860
7553 5801 965
2359 7249 -302
6027 3232 -128
2981 624 905
3766 6237 619
4569 3342 878
1352 3224 30
4656 1584 17
3484 1380 135
4855 1673 176
5785 5772 -945
5636 1258 699
2163 5621 -560
5987 3083 -558
8031 1871 -830
5840 962 217
7176 8167 728
1676 7008 -386
7941 2075 -41
7214 3538 265
8455 5013 901
2865 7182 266
6139 1608 -15
3991 5539 807
7549 6987 384
7916 8096 68
6175 2838 335
4038 7709 8
5314 8585 -818
6787 4489 -230
2966 8292 137
186 773 405
4668 6122 249
1922 7066 807
8485 4011 -766
4435 1976 174
4734 4693 -194
3346 8319 204
3794 5698 280
772 673 203
2448 1112 233
1166 4721 -545
5283 6969 -709
8436 5112 227
8103 2315 -568
115 3398 25
6121 8570 192
2914 7078 917
4268 1735 955
3100 1415 5
4052 453 -994
35 8451 -117
3808 2029 -343
894 5216 726
402 1302 -270
4321 6339 118
941 6492 -918
4903 4866 -197
959 7110 -241
7758 6033 630
2727 8118 757
3930 781 832
2323 6197 -846
7452 372 624
3467 3276 -790
313 4549 329
4723 7542 -116
4057 7663 -454
1705 3867 -228
7448 5042 -225
7997 4527 -870
5829 3872 -38
3862 5466 -633
1103 7999 -259
7990 8580 895
2409 6892 -770
3346 45 -141
656 3443 -287
4873 133 151
3971 27 -752
3785 4742 645
4947 6709 399
7430 2933 836
5472 7472 66
4201 8549 11
6463 5559 727
712 924 -27
782 1457 97
4684 29 -982
5528 5772 502
3355 6131 -238
6270 5224 899
3176 2641 -30
2995 6858 -608
3249 3862 781
52 1265 -654
4217 4485 28
7457 1791 -215
5441 5504 750
2772 7614 -926
5584 3248 403
4402 5681 -496
3343 3803 488
7412 943 367
5036 5065 950
2046 2990 171
1880 5046 -903
6999 8310 128
5289 3870 -141
2541 7473 96
7809 1893 -343
7840 620 753
6389 2982 792
2304 2367 244
4665 5769 -528
1959 8588 238
6190 6022 -889
800 5651 -94
7954 504 -712
3015 3234 431
994 6605 655
8413 7883 391
3389 7664 460
3683 186 556
3787 6703 865
1810 7638 874
7504 6254 -879
3645 2554 -42
6277 2089 408
4350 7586 668
3469 793 -125
1859 2772 39
2690 4092 -245
3634 885 130
2116 8257 -172
4076 4641 402
5077 5441 -288
4848 7187 953
5690 3952 43
3975 8567 412
4262 5017 -771
2292 5517 -646
2903 6062 171
8302 3895 -175
5603 3300 667
2157 1290 -302
5255 5953 -369
1676 5216 400
5848 143 132
2380 4430 -12
8403 3647 -933
8281 3487 -720
7135 574 83
7499 1518 940
587 4014 254
7024 4275 -555
2495 5812 -956
3214 5961 505
7783 653 -567
7239 1714 770
2802 1508 -623
4739 5434 790
